Ingredient,Parent_Ingredient,Amount_on_Hand,Amount_Made_Per_Craft,Amount_Needed,Generation,Tree_Key
Focusing_Array,None,1,1,1,0,UoPydLI98vet9sUb
Advanced_Alloy,Focusing_Array,2,2,1,1,UoPydLI98vet9sUb
Zerchesium_Bar,Advanced_Alloy,2,1,1,2,UoPydLI98vet9sUb
Zerchesium_Ore,Zerchesium_Bar,4,2,1,3,UoPydLI98vet9sUb
Pixels,Zerchesium_Ore,5600,1400,1,4,UoPydLI98vet9sUb
Protocite_Bar,Advanced_Alloy,2,1,1,2,UoPydLI98vet9sUb
Protocite,Protocite_Bar,4,2,1,3,UoPydLI98vet9sUb
Pixels_B,Protocite,1560,390,1,4,UoPydLI98vet9sUb
Penumbrite_Shard,Advanced_Alloy,2,1,1,2,UoPydLI98vet9sUb
Penumbrite_Ore,Penumbrite_Shard,4,2,1,3,UoPydLI98vet9sUb
Pixels_C,Penumbrite_Ore,1560,390,1,4,UoPydLI98vet9sUb
Lead,Advanced_Alloy,2,1,1,2,UoPydLI98vet9sUb
Pixels_D,Lead,120,60,1,3,UoPydLI98vet9sUb
Crystal,Focusing_Array,2,2,1,1,UoPydLI98vet9sUb
Prism_Shard,Crystal,0,1,3,2,UoPydLI98vet9sUb
Pixels_E,Prism_Shard,0,1838,1,3,UoPydLI98vet9sUb
Plasmic_Crystal,Focusing_Array,2,2,1,1,UoPydLI98vet9sUb
Bloody_Rock,Plasmic_Crystal,100,50,1,2,UoPydLI98vet9sUb
Blood,Bloody_Rock,100,1,1,3,UoPydLI98vet9sUb
Teratomato,Blood,33,1,3,4,UoPydLI98vet9sUb
Teratomato_Seed,Teratomato,99,3,1,5,UoPydLI98vet9sUb
Mercury,Bloody_Rock,100,1,1,3,UoPydLI98vet9sUb
Cinnabar,Mercury,100,2,2,4,UoPydLI98vet9sUb
Pixels_F,Cinnabar,7000,70,1,5,UoPydLI98vet9sUb
Quantum_Processor,Focusing_Array,1,1,1,1,UoPydLI98vet9sUb
Silicon_Board,Quantum_Processor,2,4,2,2,UoPydLI98vet9sUb
Silicon,Silicon_Board,2,1,1,3,UoPydLI98vet9sUb
Sand,Silicon,100,50,1,4,UoPydLI98vet9sUb
Cobblestone,Sand,1666,50,3,5,UoPydLI98vet9sUb
Rockroot,Cobblestone,833,1,2,6,UoPydLI98vet9sUb
Rockroot_Seed,Rockroot,2499,3,1,7,UoPydLI98vet9sUb
Copper_Wire,Silicon_Board,2,1,1,3,UoPydLI98vet9sUb
